Modelo,MAE,RMSE,R²,Média Resíduos,Std Resíduos
RNA,3.8513813092583153,6.127948040328814,0.5547914796315858,0.30067977325554895,6.12056687398518
RF,2.6993346707303365,5.305755753211888,0.6662449649939105,0.8169702649977327,5.242480681781343
